model,cadence_s,first_report_s,trial_idx,max_visits,dt_ms,visits_at_first_packet,error,timestamp
b10c128,0.25,0.025,1,2000000,90.56261602044106,40,,1779000105.5869849
b10c128,0.125,0.01,1,2000000,170.27120298147202,759,,1779000106.0175798
b10c128,0.25,0.035,1,2000000,70.636244982481,118,,1779000106.3474565
b10c128,0.125,0.028,1,2000000,51.98352202773094,59,,1779000106.6566176
b10c128,0.25,0.027,1,2000000,58.01794096827507,40,,1779000106.977505
b10c128,0.25,0.04,1,2000000,65.47464799880981,133,,1779000107.300979
b10c128,0.125,0.026,1,2000000,52.21706202626228,38,,1779000107.6119742
b10c128,0.25,0.075,1,2000000,96.80384799838066,226,,1779000107.9667206
b10c128,0.125,0.04,1,2000000,71.90666198730469,80,,1779000108.2988155
b10c128,0.125,0.015,1,2000000,167.81968900561333,547,,1779000108.7306106
b10c128,0.125,0.001,1,2000000,171.34410098195076,526,,1779000109.1622393
b10c128,0.125,0.021,1,2000000,78.8095920085907,1,,1779000109.5021625
b10c128,0.25,0.045,1,2000000,85.58554503321648,149,,1779000109.8462434
b10c128,0.125,0.018,1,2000000,219.83698698878288,900,,1779000110.3257537
b10c128,0.125,0.02,1,2000000,75.36267498135567,14,,1779000110.659096
b10c128,0.25,0.024,1,2000000,80.27582198381424,23,,1779000110.9966486
b10c128,0.125,0.024,1,2000000,78.06598898768425,8,,1779000111.3342354
b10c128,0.25,0.05,1,2000000,88.5793240070343,204,,1779000111.6821966
b10c128,0.125,0.045,1,2000000,123.10531800985336,169,,1779000112.0641327
b10c128,0.25,0.032,1,2000000,68.26676100492477,39,,1779000112.3926346
b10c128,0.25,0.018,1,2000000,339.28736901283264,1251,,1779000112.9925773
b10c128,0.25,0.115,1,2000000,225.38183295726776,677,,1779000113.478746
b10c128,0.125,0.06,1,2000000,86.89175298810005,260,,1779000113.8248723
b10c128,0.25,0.075,2,2000000,103.07998698949814,415,,1779000114.1879177
b10c128,0.25,0.1,2,2000000,131.26378297805786,480,,1779000114.5812397
b10c128,0.125,0.03,2,2000000,66.86625298857689,59,,1779000114.908184
b10c128,0.25,0.022,2,2000000,55.282218009233475,4,,1779000115.222325
b10c128,0.25,0.024,2,2000000,45.39921599626541,16,,1779000115.5275848
b10c128,0.25,0.018,2,2000000,34.69422197341919,3,,1779000115.821371
b10c128,0.125,0.018,2,2000000,41.46187803149223,2,,1779000116.1245646
b10c128,0.125,0.032,2,2000000,76.72974801063538,70,,1779000116.4593043
b10c128,0.25,0.2,2,2000000,242.66872602701187,1170,,1779000116.9629552
b10c128,0.125,0.01,2,2000000,245.20181798934937,729,,1779000117.472079
b10c128,0.125,0.06,2,2000000,112.96283999085426,279,,1779000117.8450797
b10c128,0.125,0.115,2,2000000,159.90121400356293,622,,1779000118.2681513
b10c128,0.25,0.04,2,2000000,82.66956198215485,84,,1779000118.6252859
b10c128,0.125,0.025,2,2000000,63.92936399579048,25,,1779000118.9507425
b10c128,0.25,0.01,2,2000000,298.85368701815605,1555,,1779000119.515542
