name,n_samples,V_max,best_target,target,status,H,kappa,rel_resid_std,pearson_resid_v,monotonicity_drop,peak_position,y_range,reason
2000-04-08b__turn49,696,15000,visit_entropy_reduction,winrate_drift,clean,0.02643122529586923,74.84847073892558,0.08142469748541602,0.3849615810668648,0.0,0.9985611510791367,0.028517544269561768,
2000-04-08b__turn49,696,15000,visit_entropy_reduction,scoreLead_drift,clean,1.2087146856423983,262.7372899769652,0.07375589854174985,0.009766385014167918,0.0,0.9985611510791367,1.2248272895812988,
2000-04-08b__turn49,696,15000,visit_entropy_reduction,L2_joint_drift,clean,0.046219136351711966,217.08158204104407,0.07127495766022035,0.14140522533911362,0.0,0.9985611510791367,0.047860655933618546,
2000-04-08c__turn180,737,15000,L2_joint_drift,visit_entropy_reduction,degenerate,1.327262967780346e-12,36.00000000000007,0.06671847671417938,-0.5136913366291154,inf,0.0,0.7787736738969806,
2000-04-08c__turn180,737,15000,L2_joint_drift,winrate_drift,clean,0.028034429341347516,85.80613154358002,0.030397627734022305,0.26747267301177313,0.0,0.998641304347826,0.02831476926803589,
2000-04-08c__turn180,737,15000,L2_joint_drift,scoreLead_drift,clean,0.7079058856312352,115.38598602208329,0.025389987918284857,0.09624453738182197,0.0,0.998641304347826,0.7064189910888672,
2000-04-08c__turn180,737,15000,L2_joint_drift,L2_joint_drift,clean,0.09275993933010787,112.81826984565079,0.025197379025582656,0.12550117221836507,0.0,0.998641304347826,0.09271518886089325,
2000-04-13d__turn170,357,15000,scoreLead_drift,visit_entropy_reduction,degenerate,2.417698788873341e-13,17600.00294762195,0.11323297523566364,-0.29263051233560183,2.4207931749427267,0.0056179775280898875,0.28586609684910935,
2000-04-13d__turn170,357,15000,scoreLead_drift,winrate_drift,degenerate,13.165276786287798,29270139.326361936,0.23283560086070929,-0.10380826672529271,0.0,0.9971910112359551,0.010236650705337524,
2000-04-13d__turn170,357,15000,scoreLead_drift,scoreLead_drift,clean,0.07343438728205853,56.6441414445882,0.20536494677692985,0.4512862523679507,0.0,0.9971910112359551,0.10662388801574707,
2000-04-13d__turn170,357,15000,scoreLead_drift,L2_joint_drift,degenerate,16.868785886694468,19778164.18480634,0.23072028704824976,-0.4192285765828966,0.0,0.9971910112359551,0.014658172614872456,
2000-04-20d__turn159,851,15000,winrate_drift,visit_entropy_reduction,degenerate,1.7626326644055524e-12,32.000000000000114,0.13412551405471712,-0.45072880503632523,inf,0.0,0.6955312560879054,
2000-04-20d__turn159,851,15000,winrate_drift,winrate_drift,clean,0.1395907415697783,126.50906915917115,0.05133898893278357,0.5599144111798057,0.0,0.9988235294117647,0.1541426181793213,
2000-04-20d__turn159,851,15000,winrate_drift,scoreLead_drift,clean,0.6908265026344952,179.55370911447133,0.16790933324852328,0.5596153015231347,0.0,0.9988235294117647,1.0146342515945435,
2000-04-20d__turn159,851,15000,winrate_drift,L2_joint_drift,clean,0.15251657474030428,124.6075699614719,0.10663902809699233,0.5967507775956009,0.0,0.9988235294117647,0.1924133449792862,
2000-04-27e__turn148,942,15000,scoreLead_drift,visit_entropy_reduction,degenerate,8.662866035153766e-13,28.000000000000064,0.08015010638160357,-0.7401279448413177,inf,0.0,1.245381593245253,
2000-04-27e__turn148,942,15000,scoreLead_drift,winrate_drift,degenerate,4.051565953067125e-11,58424.000000002794,0.16193263655628948,0.5940839641615244,0.0,0.9989373007438895,0.011325955390930176,
2000-04-27e__turn148,942,15000,scoreLead_drift,scoreLead_drift,clean,0.2457388284947415,2735.976150976497,0.0836477538076137,-0.02355930259530375,0.0,0.9989373007438895,0.4492502212524414,
2000-04-27e__turn148,942,15000,scoreLead_drift,L2_joint_drift,clean,0.013145800492970008,6341.442293077021,0.09245293419709967,-0.022544654185230655,0.0,0.9989373007438895,0.022413326427340508,
2000-04-30c__turn189,713,15000,winrate_drift,visit_entropy_reduction,degenerate,9.869023619632207e-13,32.000000000000064,0.07613591391546336,-0.5713467352222164,inf,0.0,1.0506607440747402,
2000-04-30c__turn189,713,15000,winrate_drift,winrate_drift,clean,0.027930239453885165,327.09704377597603,0.06614419691411537,0.060848349664423804,0.0,0.9985955056179775,0.028040651232004166,
2000-04-30c__turn189,713,15000,winrate_drift,scoreLead_drift,clean,0.9860553812592432,1257.9913012853278,0.0827642573630648,-0.13221520166556064,0.0,0.9985955056179775,0.9144868850708008,
2000-04-30c__turn189,713,15000,winrate_drift,L2_joint_drift,clean,0.10050248559851965,1171.5236900174937,0.08125694950993124,-0.1290212884813763,0.0,0.9985955056179775,0.09388283640146255,
2000-05-14__turn209,275,15000,L2_joint_drift,visit_entropy_reduction,degenerate,1.1446684585299715e-10,6624.001876299429,0.14864595580714446,-0.7862647845017515,4.009965191471959,0.0036496350364963502,0.48658011149789315,
2000-05-14__turn209,275,15000,L2_joint_drift,winrate_drift,clean,0.008460253035949878,982.4791936951476,0.12318010752749471,0.10024067478961479,0.0,0.9963503649635036,0.008796298876404762,
2000-05-14__turn209,275,15000,L2_joint_drift,scoreLead_drift,clean,1.8253163516104711,1391.9118746076933,0.09130696019063517,0.24931739676063647,0.0,0.9963503649635036,1.908273696899414,
2000-05-14__turn209,275,15000,L2_joint_drift,L2_joint_drift,clean,0.1744349148615884,1390.97690106544,0.0910021527488369,0.24988838765091692,0.0,0.9963503649635036,0.18239721655845642,
2000-05-17c__turn135,785,15000,winrate_drift,visit_entropy_reduction,degenerate,8.038499173603392e-13,24.000000000000064,0.05924316787314196,-0.407838323200973,inf,0.0,1.2815212989086402,
2000-05-17c__turn135,785,15000,winrate_drift,winrate_drift,clean,0.010864151251662723,51.55499596270933,0.061679826888970384,0.17797345678109366,0.0,0.9987244897959183,0.011737443506717682,
2000-05-17c__turn135,785,15000,winrate_drift,scoreLead_drift,degenerate,1743.8036960158513,450716001.4351971,0.21994461191962725,0.5509909151848783,0.0,0.9987244897959183,0.8999099731445312,
2000-05-17c__turn135,785,15000,winrate_drift,L2_joint_drift,degenerate,51.60454192876001,94294792.00708453,0.19744852917475225,0.4133291890529786,0.0,0.9987244897959183,0.039571236819028854,
2000-05-18a__turn165,372,15000,winrate_drift,visit_entropy_reduction,degenerate,1203.9418306558375,96519404.80642729,0.06933202603369,0.7558002794649614,0.0035174408558724174,0.9622641509433962,0.25046954800084675,
2000-05-18a__turn165,372,15000,winrate_drift,winrate_drift,clean,0.03623890364010599,1002.6959820574936,0.02252661671571319,0.15704497008237334,0.0,0.9973045822102425,0.03441131114959717,
2000-05-18a__turn165,372,15000,winrate_drift,scoreLead_drift,clean,1.1061504703473015,1622.6030079087805,0.044544087319473104,0.20655780224792436,0.0,0.9973045822102425,1.0842859745025635,
2000-05-18a__turn165,372,15000,winrate_drift,L2_joint_drift,clean,0.11382791529771596,1544.5235930104598,0.04266689426122717,0.21702406019670112,0.0,0.9973045822102425,0.11169642210006714,
2000-05-22c__turn178,370,15000,winrate_drift,visit_entropy_reduction,clean,0.8555804250810977,108.90984182936397,0.08979258682968902,-0.4284945093744276,0.20052993631421193,0.22764227642276422,1.061880980409028,
2000-05-22c__turn178,370,15000,winrate_drift,winrate_drift,clean,0.23633401101853937,728.1260437057942,0.04146032543593905,0.2688836389416239,0.0,0.997289972899729,0.2337515652179718,
2000-05-22c__turn178,370,15000,winrate_drift,scoreLead_drift,clean,1.8659554486173209,633.3030340669515,0.04634777217426053,0.25781610123267995,0.0,0.997289972899729,1.8660240173339844,
2000-05-22c__turn178,370,15000,winrate_drift,L2_joint_drift,clean,0.30453706272219583,689.4854970409559,0.043055251313156115,0.2672076888861441,0.0,0.997289972899729,0.30262473225593567,
2000-05-25b__turn130,851,15000,visit_entropy_reduction,visit_entropy_reduction,clean,0.26464280397382084,637.9868460614109,0.030931766561223723,-0.13405488085785106,5.084991776965319e-05,0.9835294117647059,0.27841072721359167,
2000-05-25b__turn130,851,15000,visit_entropy_reduction,winrate_drift,clean,0.05164382343470604,6679.4254917455055,0.0822094171615646,-0.11166502198565732,0.0,0.9988235294117647,0.03401246666908264,
2000-05-25b__turn130,851,15000,visit_entropy_reduction,scoreLead_drift,clean,0.7428289220635487,2419.3048235727038,0.09319327098938147,-0.10811547800574162,0.0,0.9988235294117647,0.6635358333587646,
2000-05-25b__turn130,851,15000,visit_entropy_reduction,L2_joint_drift,clean,0.062338628222275275,4459.39704079244,0.08074440774323666,-0.17755215819015244,0.0,0.9988235294117647,0.04756952077150345,
2000-05-25d__turn123,866,15000,L2_joint_drift,visit_entropy_reduction,degenerate,1.2373373748248951e-17,1104.0068305391858,0.11622535557988468,0.10972169995536214,9.395460708918653,0.0011560693641618498,0.8335857787731744,
2000-05-25d__turn123,866,15000,L2_joint_drift,winrate_drift,clean,0.024730327191591895,964.2596244776441,0.08321654799967852,0.15766474325410507,0.0,0.9988439306358381,0.04612693190574646,
2000-05-25d__turn123,866,15000,L2_joint_drift,scoreLead_drift,clean,0.5248950683582027,1105.2558727496166,0.07335373674143862,-0.10113385066498462,0.0,0.9988439306358381,0.7981101274490356,
2000-05-25d__turn123,866,15000,L2_joint_drift,L2_joint_drift,clean,0.03789609838626167,1071.5758430568374,0.06672473272171821,0.06806133120860332,0.0,0.9988439306358381,0.06432218104600906,
2000-05-26__turn146,928,15000,L2_joint_drift,visit_entropy_reduction,degenerate,3.843770222164067e-12,28.000000000000274,0.0935734795846893,0.880076729088667,inf,0.0,0.42777453905681184,
2000-05-26__turn146,928,15000,L2_joint_drift,winrate_drift,clean,0.024201166682509687,141.31476864146393,0.08079680843116237,0.2926153256127161,0.0,0.9989212513484358,0.028717458248138428,
2000-05-26__turn146,928,15000,L2_joint_drift,scoreLead_drift,clean,0.6169738079797994,795.6373999125074,0.06676549604810654,0.14843202004368092,0.0,0.9989212513484358,0.9868311882019043,
2000-05-26__turn146,928,15000,L2_joint_drift,L2_joint_drift,clean,0.04309244891482038,566.5734129321334,0.0649978932533481,0.2265174898860976,0.0,0.9989212513484358,0.06327928602695465,
